,0,1,2,3,4,5,6,7,8
Start,2015-01-01 00:00:00+00:00,2017-11-09 00:00:00+00:00,2017-11-09 00:00:00+00:00,2020-08-20 00:00:00+00:00,2020-09-29 00:00:00+00:00,2020-02-07 00:00:00+00:00,2021-04-14 00:00:00-04:00,2015-01-02 00:00:00-05:00,2015-01-02 00:00:00-05:00
End,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-29 00:00:00-04:00,2025-08-29 00:00:00-04:00,2025-08-29 00:00:00-04:00
Duration,3895 days 00:00:00,2852 days 00:00:00,2852 days 00:00:00,1837 days 00:00:00,1797 days 00:00:00,2032 days 00:00:00,1598 days 00:00:00,3891 days 23:00:00,3891 days 23:00:00
Exposure Time [%],22.638603696098563,24.395373291272346,29.96845425867508,22.470076169749728,16.129032258064516,35.41564190850959,16.98455949137148,14.360313315926893,16.747482282730324
Equity Final [$],55.52338634227275,46.01042205153469,19.678181453372712,28.202789533970297,4.864327291266158,6.547560724366096,7.01500299308572,12.493516567723436,3.701634678922521
Equity Peak [$],66.06166981295226,51.061303368823076,26.191511837490157,73.34890101068679,10.06763987113434,10.0,20.248274995931897,14.29402352028678,11.04445198992228
Commissions [$],17.771717768319277,9.297511976074755,7.035739450618683,10.851511920300108,2.155122066451953,2.3718768253177367,2.362601711323804,2.9000230713060793,2.170807422084191
Return [%],455.2338634227275,360.1042205153469,96.78181453372711,182.02789533970295,-51.35672708733841,-34.52439275633904,-29.849970069142795,24.93516567723436,-62.98365321077479
Buy & Hold Return [%],44040.05369187989,542.1179533236083,5543.494289912576,-81.65268413617933,-75.14566506516512,82.32212739929213,19.02603291583078,32851.76658061358,845.3587378689416
Return (Ann.) [%],17.421290223804053,21.56340210440262,9.046345334996996,22.863091430115155,-13.609779674865052,-7.3214232556768515,-7.794161744209194,2.114603799878756,-8.918274817438764
Volatility (Ann.) [%],33.470423550368196,41.64730052296895,32.19643268399596,47.75638596124787,26.003431344708467,7.417097700196915,26.760971530746097,15.219909823771172,10.244702976074564
CAGR [%],17.426131820553834,21.571725380622553,9.049656646848003,22.87686333336452,-13.616812509554633,-7.324891013481539,-5.437480080553758,1.4519098839881561,-6.232149656632757
Sharpe Ratio,0.5204980509908249,0.517762299924101,0.28097352970081396,0.47874417148457404,-0.523383990922204,-0.9871008245560089,-0.29125107566645553,0.138936683880746,-0.8705254645514336
Sortino Ratio,1.092156360037814,1.1432057981762471,0.48872988540302154,0.9797006954550309,-0.6365692325118381,-1.176382574144578,-0.36886336617857063,0.19474721691439842,-1.001823593339158
Calmar Ratio,0.3718527711770803,0.5973659264896466,0.20137181147406324,0.37145671581719275,-0.19997541439679803,-0.21206522899182814,-0.11830130517226857,0.059051764778064474,-0.12423455738449109
