,0,1,2,3,4,5,6,7,8
Start,2015-01-01 00:00:00+00:00,2017-11-09 00:00:00+00:00,2017-11-09 00:00:00+00:00,2020-08-20 00:00:00+00:00,2020-09-29 00:00:00+00:00,2020-02-07 00:00:00+00:00,2021-04-14 00:00:00-04:00,2015-01-02 00:00:00-05:00,2015-01-02 00:00:00-05:00
End,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-29 00:00:00-04:00,2025-08-29 00:00:00-04:00,2025-08-29 00:00:00-04:00
Duration,3895 days 00:00:00,2852 days 00:00:00,2852 days 00:00:00,1837 days 00:00:00,1797 days 00:00:00,2032 days 00:00:00,1598 days 00:00:00,3891 days 23:00:00,3891 days 23:00:00
Exposure Time [%],98.84496919917865,94.67227479845776,95.26813880126183,93.85201305767139,93.9377085650723,97.98327594687653,90.46321525885558,98.91831406191719,97.72472957851548
Equity Final [$],64.27014576485013,42.45946946147805,62.197021532348586,26.731257425885175,280.1254951619622,1.109272330551755,0.5775763547124574,5.745858850079755,1.4441746199472796
Equity Peak [$],1267.1439082574911,411.84344708596984,242.8894909798456,64.44530612197183,1317.3617358444303,10.158480887287599,10.123492946796416,14.853055462512149,11.234887057421188
Commissions [$],571.4155282502617,220.78917378879308,239.83596625401367,44.168071543136875,803.4281794266276,7.884032232875972,2.84096341165564,19.836918200541053,11.84614585820657
Return [%],542.7014576485012,324.5946946147805,521.9702153234858,167.31257425885175,2701.254951619622,-88.90727669448243,-94.22423645287543,-42.54141149920245,-85.55825380052721
Buy & Hold Return [%],46272.71887627075,881.8567320035886,42855.91560046776,-18.324688357268602,297.70374003442873,118.8664819698004,14.877405331332136,35993.08189182663,781.6822201476359
Return (Ann.) [%],19.041673010099224,20.32067061215672,26.343037615722874,21.562556290074887,96.705913081025,-32.617298455378474,-47.9340674550933,-5.0749964123611875,-16.630222776649983
Volatility (Ann.) [%],82.26632813269133,105.44577749250563,117.36216834001236,131.48513121416195,273.78879845308927,11.84236629235186,48.465857919729146,48.24817051019934,23.845244432130354
CAGR [%],19.04700031106983,20.328475265931758,26.35339668729264,21.575478130963788,96.77998341714688,-32.63038845732403,-36.21634998869708,-3.524175411313968,-11.776089254917888
Sharpe Ratio,0.23146375245271664,0.19271203736537462,0.22445936359495264,0.16399235480819474,0.35321354864557947,-2.75428893602486,-0.9890275239630212,-0.10518526109271578,-0.6974230364458556
Sortino Ratio,0.4509870253761948,0.4040185018820651,0.5468391374951467,0.3916545241620864,1.5887854177854155,-2.3098538325525166,-0.864150716953643,-0.15796901017583134,-0.8375388151280323
Calmar Ratio,0.19823421991020182,0.21892017012695125,0.34069194011289566,0.2664534407778782,1.1479175766583147,-0.36615444074386694,-0.4981164990509557,-0.0659712723336451,-0.18995869854815206
